1. Participated,3. Frequency,5. Cost importance,6. Appeals importance,7. Accessibility importance,8. Amenities importance,9. Activities importance,10. Pay extra for atmosphere,11. Pay extra for location,12. Pay extra for amenities,13. Pay extra for activities,14. Activities over everything else,15. Amenities over everything else,16. Everything must be perfect,18. Attitude towards paying,19. decide on friends’ or social media recom,20. Your recommendation,21. Gender,22. Age,23. Timestamp,4. Motivation_Adventure and excitement,4. Motivation_Other (please only choose if fits best),4. Motivation_Relaxation and escaping routine,4. Motivation_Socializing and meeting new people,min_total_price,max_total_price,min_surfing_price,max_surfing_price,min_horse_price,max_horse_price,17. Single important factor_Broad choice of activities,17. Single important factor_Convenient or appealing location,17. Single important factor_High-quality amenities,17. Single important factor_Lowest price,17. Single important factor_Others,17. Single important factor_Outstanding visual and Appealing atmosphere,2. Events_Hiking,"2. Events_Hiking, Skiing",2. Events_Horseback Riding,"2. Events_Horseback Riding, Hiking","2. Events_Horseback Riding, Hiking, Skiing",2. Events_None of the above,2. Events_Skiing,2. Events_Surfing,"2. Events_Surfing, Hiking","2. Events_Surfing, Skiing",Needs_Cluster
1,1,6,6,7,7,6,7,7,7,4,7,4,7,4,7,7,1,36,12/25/2024 08:24,1,0,0,0,20.0,175.0,75.0,175.0,20.0,40.0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
1,2,5,3,6,5,4,7,1,6,6,7,5,7,4,6,7,1,33,12/25/2024 10:04,1,0,0,0,20.0,100.0,75.0,100.0,20.0,20.0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
1,1,4,6,5,6,4,5,6,5,4,7,4,6,4,6,7,0,24,12/25/2024 10:39,1,0,0,0,20.0,100.0,75.0,100.0,20.0,60.0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
1,1,4,6,6,6,6,5,6,4,5,6,5,5,3,6,7,1,31,12/25/2024 12:12,1,0,0,0,20.0,100.0,75.0,100.0,20.0,40.0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
1,2,5,6,4,3,5,4,5,4,4,4,4,4,3,4,4,0,25,12/25/2024 13:00,1,0,0,0,20.0,20.0,0.0,0.0,20.0,20.0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1
1,2,2,4,3,4,4,5,6,6,5,5,5,5,3,2,6,0,35,12/25/2024 13:21,1,0,0,0,20.0,75.0,75.0,75.0,20.0,50.0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
1,1,6,6,6,3,2,2,2,2,2,3,3,4,3,4,6,0,26,12/25/2024 13:49,0,0,1,0,20.0,100.0,75.0,100.0,20.0,30.0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1
1,1,7,7,7,7,7,5,5,4,4,3,2,5,3,2,7,1,31,12/25/2024 14:13,1,0,0,0,20.0,30.0,0.0,0.0,20.0,30.0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
1,1,2,4,6,2,3,3,3,4,4,5,2,3,3,5,6,1,30,12/25/2024 14:28,0,0,1,0,20.0,100.0,75.0,100.0,20.0,40.0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1
1,1,4,3,4,6,5,5,4,6,5,6,3,6,4,6,6,0,24,12/25/2024 14:55,1,0,0,0,20.0,150.0,75.0,150.0,20.0,30.0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0
1,1,6,5,5,4,5,3,3,4,3,5,4,3,2,4,6,1,25,12/25/2024 15:00,0,0,1,0,20.0,100.0,75.0,100.0,20.0,30.0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1
0,0,7,4,6,5,5,3,3,4,4,5,3,3,1,5,4,0,25,12/25/2024 15:11,1,0,0,0,20.0,40.0,0.0,0.0,20.0,40.0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1
1,3,5,7,7,6,4,7,7,6,6,7,4,7,3,5,6,0,23,12/25/2024 15:46,1,0,0,0,20.0,125.0,75.0,125.0,20.0,40.0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
0,0,6,5,7,6,6,2,2,3,3,4,3,2,3,3,6,1,26,12/25/2024 15:47,0,0,0,1,20.0,75.0,75.0,75.0,20.0,20.0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1
1,0,5,7,3,4,5,5,4,4,5,5,2,6,3,4,7,0,32,12/25/2024 16:45,1,0,0,0,20.0,75.0,75.0,75.0,20.0,60.0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
1,2,5,7,7,2,5,6,6,3,4,4,1,7,3,7,6,0,36,12/25/2024 16:58,0,0,0,1,20.0,125.0,75.0,125.0,20.0,40.0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
1,2,3,6,7,4,6,4,4,4,5,5,6,6,1,7,7,1,29,12/25/2024 16:59,1,0,0,0,20.0,75.0,75.0,75.0,20.0,50.0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
1,1,4,5,3,5,4,4,5,6,4,6,3,6,3,5,6,0,27,12/25/2024 17:15,0,0,1,0,20.0,30.0,0.0,0.0,20.0,30.0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
1,1,5,6,4,6,6,6,5,6,6,7,4,7,4,6,7,0,24,12/25/2024 17:25,1,0,0,0,20.0,100.0,75.0,100.0,20.0,60.0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0
1,2,7,7,7,5,5,7,7,5,2,7,7,5,1,7,7,1,27,12/25/2024 17:42,0,0,1,0,20.0,100.0,75.0,100.0,20.0,50.0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
1,2,3,6,7,4,6,7,7,7,7,7,4,4,3,6,5,0,30,12/25/2024 18:09,1,0,0,0,20.0,100.0,75.0,100.0,20.0,60.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
0,0,6,6,6,4,6,4,4,2,4,5,5,5,3,5,7,0,30,12/25/2024 19:54,0,0,0,1,20.0,30.0,0.0,0.0,20.0,30.0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
1,1,2,7,7,4,7,4,6,4,7,7,5,7,3,7,7,1,28,12/25/2024 23:24,1,0,0,0,20.0,100.0,75.0,100.0,20.0,40.0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
1,1,7,4,4,3,3,5,4,4,3,6,4,6,2,6,7,1,۲۷,12/26/2024 02:24,0,0,1,0,20.0,50.0,0.0,0.0,20.0,50.0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1
1,1,2,4,5,4,2,6,6,4,6,5,2,6,3,7,6,0,26,12/26/2024 06:24,0,0,1,0,20.0,100.0,75.0,100.0,20.0,50.0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
1,3,3,4,3,3,3,6,6,6,6,6,6,6,2,5,5,0,25,12/26/2024 07:48,1,0,0,0,20.0,100.0,75.0,100.0,20.0,50.0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
1,1,6,6,4,3,5,5,4,5,4,4,5,5,3,4,6,0,27,12/26/2024 10:41,0,0,1,0,20.0,30.0,0.0,0.0,20.0,30.0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1
1,2,5,5,4,3,3,3,4,3,3,5,3,5,3,6,7,0,25,12/26/2024 11:24,0,0,1,0,20.0,100.0,75.0,100.0,20.0,40.0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1
0,0,6,5,3,3,2,6,5,3,3,4,3,5,2,4,6,0,25,12/26/2024 13:25,1,0,0,0,20.0,75.0,75.0,75.0,20.0,20.0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1
1,1,5,4,2,3,3,1,3,3,5,4,3,5,3,5,4,0,23,12/26/2024 13:27,1,0,0,0,20.0,100.0,75.0,100.0,20.0,20.0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1
1,2,3,5,2,6,6,4,5,6,5,3,6,6,3,7,7,0,22,12/26/2024 14:04,0,0,0,1,20.0,125.0,75.0,125.0,20.0,30.0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
0,0,6,6,7,5,6,5,2,4,4,5,4,4,1,4,4,1,25,12/26/2024 14:12,0,1,0,0,75.0,125.0,75.0,125.0,0.0,0.0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1
1,1,7,7,7,4,2,4,4,2,2,7,3,4,4,5,6,0,24,12/26/2024 14:37,1,0,0,0,20.0,100.0,75.0,100.0,20.0,30.0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1
1,0,6,5,4,6,1,5,4,1,2,6,4,5,2,5,6,0,22,12/26/2024 14:44,0,0,1,0,20.0,100.0,75.0,100.0,20.0,50.0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
0,0,5,5,4,4,5,5,5,5,4,4,5,5,3,4,6,0,24,12/26/2024 14:51,0,0,0,1,75.0,100.0,75.0,100.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
1,3,2,5,2,7,5,7,7,7,7,5,5,7,4,6,7,0,22,12/26/2024 15:03,0,0,1,0,20.0,100.0,75.0,100.0,20.0,50.0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
1,2,7,7,5,6,6,4,5,4,5,7,3,4,2,5,7,0,26,12/26/2024 15:43,0,0,1,0,20.0,100.0,75.0,100.0,20.0,40.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
1,2,4,6,3,6,4,4,4,5,5,7,5,5,3,6,7,0,21,12/26/2024 17:04,0,0,1,0,20.0,125.0,75.0,125.0,20.0,60.0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
1,3,7,6,7,4,7,7,3,2,4,4,5,4,2,7,7,0,25,12/26/2024 17:16,1,0,0,0,20.0,75.0,75.0,75.0,20.0,60.0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
1,1,4,6,6,5,4,6,6,6,6,6,6,6,3,5,6,0,24,12/26/2024 17:27,1,0,0,0,20.0,125.0,75.0,125.0,20.0,60.0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
1,1,7,7,7,4,5,6,8,7,8,7,7,2,1,7,7,1,32,12/26/2024 17:34,0,0,0,1,20.0,75.0,75.0,75.0,20.0,50.0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
1,1,6,5,6,4,4,4,4,4,5,3,4,5,3,5,6,1,35,12/26/2024 17:35,0,0,1,0,20.0,20.0,0.0,0.0,20.0,20.0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1
1,3,6,6,2,2,4,4,4,2,3,6,4,6,3,4,5,0,33,12/26/2024 20:43,0,0,1,0,20.0,75.0,75.0,75.0,20.0,40.0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
1,1,5,7,7,7,3,7,5,7,4,5,7,7,3,3,7,1,27,12/26/2024 20:54,1,0,0,0,20.0,75.0,75.0,75.0,20.0,40.0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
1,1,5,5,5,5,5,5,6,5,6,4,2,5,4,4,6,1,28,12/26/2024 22:03,0,0,1,0,20.0,100.0,75.0,100.0,20.0,40.0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
1,1,5,3,7,6,7,5,3,2,2,1,2,5,1,4,6,0,24,12/27/2024 08:20,1,0,0,0,20.0,30.0,0.0,0.0,20.0,30.0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1
1,0,5,7,6,5,5,6,5,5,5,4,4,6,4,6,7,1,37,12/27/2024 10:29,0,0,1,0,20.0,75.0,75.0,75.0,20.0,50.0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
1,3,4,5,3,2,2,3,3,3,5,3,4,5,4,6,7,1,29,12/27/2024 12:02,0,0,1,0,20.0,100.0,75.0,100.0,20.0,50.0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
1,1,3,3,4,4,2,4,3,4,3,6,3,3,4,3,3,1,33,12/27/2024 13:10,0,0,0,1,20.0,125.0,75.0,125.0,20.0,60.0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1
1,1,7,5,5,6,2,1,1,2,1,4,2,2,2,3,6,0,30,12/27/2024 15:52,0,0,1,0,20.0,20.0,0.0,0.0,20.0,20.0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1
1,3,7,7,2,2,2,4,4,2,2,5,2,4,2,1,6,1,36,12/27/2024 15:55,1,0,0,0,20.0,175.0,75.0,175.0,20.0,60.0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1
1,1,3,4,6,5,5,4,6,6,4,6,5,5,4,4,7,1,36,12/27/2024 16:27,1,0,0,0,20.0,75.0,75.0,75.0,20.0,50.0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
1,3,2,6,2,3,6,3,2,2,2,2,5,2,3,3,6,0,27,12/27/2024 16:59,0,0,1,0,20.0,100.0,75.0,100.0,20.0,30.0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
0,0,7,6,6,6,4,5,4,6,3,5,4,5,1,5,4,0,20,12/27/2024 23:07,0,0,1,0,20.0,75.0,75.0,75.0,20.0,50.0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1
1,3,5,5,3,6,5,5,5,5,5,6,5,6,1,5,6,1,33,12/27/2024 23:10,0,0,0,1,20.0,175.0,100.0,175.0,20.0,60.0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
1,1,3,6,6,7,3,2,3,2,3,4,3,4,1,3,5,1,26,12/28/2024 13:50,0,0,1,0,20.0,20.0,0.0,0.0,20.0,20.0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1
1,1,4,5,5,4,3,5,5,5,5,4,3,6,3,5,6,1,20,12/28/2024 14:35,1,0,0,0,20.0,75.0,75.0,75.0,20.0,30.0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
1,2,4,6,3,5,5,5,3,6,6,6,2,5,4,5,6,0,33,12/28/2024 16:30,0,0,1,0,100.0,175.0,100.0,175.0,0.0,0.0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
0,0,7,7,7,7,4,5,6,5,5,5,5,5,4,5,5,1,34,12/28/2024 16:51,0,0,1,0,20.0,75.0,75.0,75.0,20.0,60.0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
0,0,7,7,4,6,6,5,2,6,5,4,5,6,1,3,7,0,30,12/28/2024 17:24,0,0,1,0,20.0,175.0,75.0,175.0,20.0,40.0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1
1,0,6,6,6,7,7,5,6,7,6,4,4,7,4,4,5,0,28,12/28/2024 17:59,0,0,0,1,20.0,75.0,75.0,75.0,20.0,30.0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
1,1,4,3,7,5,6,4,6,4,6,2,2,3,3,4,7,1,24,12/28/2024 18:20,0,0,0,1,20.0,20.0,0.0,0.0,20.0,20.0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
1,3,1,6,5,4,4,4,5,6,5,5,6,4,4,4,6,0,29,12/29/2024 13:27,0,0,1,0,20.0,100.0,75.0,100.0,20.0,30.0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
1,1,3,3,7,3,5,4,4,5,6,6,2,6,3,7,7,1,30,12/29/2024 14:19,0,0,1,0,20.0,125.0,75.0,125.0,20.0,40.0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
1,1,5,6,7,3,2,4,4,2,2,5,1,2,4,6,7,0,32,12/29/2024 18:30,0,0,1,0,20.0,75.0,75.0,75.0,20.0,40.0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1
0,0,5,7,4,7,3,4,4,1,1,7,4,4,1,7,7,0,22,12/29/2024 23:50,0,0,1,0,20.0,20.0,0.0,0.0,20.0,20.0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1
0,0,6,7,7,4,3,7,7,4,4,7,3,7,3,6,5,0,43,12/30/2024 11:24,0,0,1,0,20.0,75.0,75.0,75.0,20.0,20.0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
1,3,4,4,4,4,4,4,4,4,4,5,5,4,2,5,4,1,32,12/30/2024 19:35,0,1,0,0,20.0,75.0,75.0,75.0,20.0,50.0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
1,2,7,4,4,6,5,2,2,2,3,6,2,2,1,7,7,1,24,12/30/2024 19:52,1,0,0,0,20.0,75.0,75.0,75.0,20.0,40.0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1
